PI_pur;PI_sell
0.02574;0.00331
0.02948;0.00667
0.02803;0.00532
0.02516;0.00184
0.02555;0.00179
0.02576;0.00179
0.02687;0.0065
0.03654;0.01324
0.04791;0.02374
0.04672;0.02216
0.03335;0.00984
0.03072;0.00703
0.05732;0.02994
0.04596;0.01985
0.04492;0.01921
0.04564;0.01966
0.04774;0.01994
0.05355;0.02497
0.05908;0.0304
0.06663;0.03936
0.11365;0.05252
0.11528;0.05485
0.18871;0.03981
0.1839;0.03552
0.18347;0.03536
0.18358;0.03538
0.08915;0.03237
0.08898;0.03191
0.09241;0.03499
0.10368;0.04487
0.21786;0.06385
0.21869;0.06552
0.2141;0.06104
0.21168;0.05788
0.11167;0.04912
0.10677;0.04394
0.06939;0.04139
0.0683;0.03987
0.06747;0.0389
0.06609;0.03753
0.06583;0.03743
0.06704;0.03884
0.07101;0.0432
0.08555;0.05665
0.11995;0.05897
0.11561;0.05591
0.19983;0.04969
0.19086;0.04165
0.18817;0.03974
0.18733;0.03874
0.09636;0.03884
0.09102;0.03385
0.09054;0.03333
0.09788;0.03985
0.20079;0.04987
0.20952;0.05786
0.20247;0.05114
0.19479;0.04424
0.10009;0.03994
0.09505;0.03505
0.04437;0.02053
0.04113;0.01803
0.04064;0.0177
0.03595;0.01369
0.03195;0.01038
0.04011;0.01688
0.04213;0.01808
0.05638;0.03195
0.10485;0.04497
0.09362;0.03564
0.17918;0.03068
0.17101;0.0236
0.16456;0.01809
0.15593;0.01003
0.05685;0.00334
0.05488;0.00179
0.0552;0.00184
0.07002;0.01488
0.18343;0.03384
0.20421;0.05164
0.20295;0.05093
0.19531;0.04343
0.1047;0.04352
0.09688;0.03651
0.06199;0.03538
0.06227;0.03505
0.06065;0.03362
0.06032;0.0332
0.06421;0.03508
0.0689;0.03864
0.07243;0.04294
0.0838;0.0543
0.1152;0.05378
0.10931;0.04965
0.19228;0.04253
0.19096;0.04136
0.19025;0.04077
0.18954;0.04003
0.10051;0.04224
0.1051;0.04607
0.11045;0.05091
0.11516;0.05484
0.21258;0.05985
0.21993;0.06557
0.20945;0.05672
0.20637;0.05331
0.10968;0.04819
0.10404;0.04307
0.07392;0.04494
0.0708;0.04178
0.06336;0.03505
0.06235;0.03407
0.06212;0.03395
0.06862;0.03994
0.07955;0.04861
0.08278;0.0528
0.11835;0.05671
0.11517;0.05531
0.20041;0.05043
0.19483;0.04534
0.19303;0.04383
0.18877;0.03994
0.09635;0.03876
0.09789;0.03991
0.10127;0.04291
0.11134;0.05117
0.21068;0.05775
0.21081;0.05737
0.20805;0.05474
0.2014;0.04849
0.10894;0.04607
0.10439;0.04245
0.06863;0.03989
0.06079;0.03292
0.05203;0.02642
0.05076;0.02504
0.05066;0.02501
0.05035;0.02491
0.05008;0.02451
0.0517;0.02489
0.04971;0.02499
0.04915;0.02773
0.05031;0.02905
0.05134;0.02772
0.05103;0.02773
0.05226;0.02876
0.05202;0.02704
0.04858;0.02491
0.04849;0.02452
0.04578;0.02503
0.051;0.02903
0.06146;0.03787
0.0699;0.04526
0.06335;0.03984
0.05291;0.02985
0.04952;0.02576
0.03781;0.01455
0.03803;0.01438
